common_name_normalized,scientific_names
banded broadbill,Eurylaimus harterti | Eurylaimus javanicus
black-browed tit,Aegithalos bonvaloti | Aegithalos iouschistos
black-fronted white-eye,Zosterops chrysolaemus | Zosterops minor
fork-tailed sunbird,Aethopyga christinae | Aethopyga latouchii
golden tanager,Tangara arthus | Tangara aurulenta
golden-crowned warbler,Basileuterus auricapilla | Basileuterus culicivorus
green jay,Cyanocorax luxuosus | Cyanocorax yncas
green-winged teal,Anas carolinensis | Anas crecca
hepatic tanager,Piranga flava | Piranga hepatica
lemon-chested greenlet,Hylophilus griseiventris | Hylophilus thoracicus
marsh antwren,Formicivora acutirostris | Formicivora paludicola
northern fantail,Rhipidura isura | Rhipidura rufiventris
northern pygmy-owl,Glaucidium californicum | Glaucidium gnoma
red-necked falcon,Falco chicquera | Falco ruficollis
royal parrotfinch,Erythrura cyaneovirens | Erythrura regia
rufous-headed chachalaca,Ortalis erythroptera | Ortalis ruficeps
scarlet-rumped cacique,Cacicus microrhynchus | Cacicus uropygialis
speckle-breasted wren,Pheugopedius paucimaculatus | Pheugopedius sclateri
swainson's thrush,Catharus swainsoni | Catharus ustulatus
vermilion flycatcher,Pyrocephalus obscurus | Pyrocephalus rubinus
wedge-tailed sabrewing,Pampa curvipennis | Pampa pampa
western red-legged thrush,Turdus plumbeus | Turdus rubripes
white-capped albatross,Thalassarche cauta | Thalassarche steadi
white-winged magpie,Urocissa whiteheadi | Urocissa xanthomelana
