species_id,avilist_common_name,scientific_name
25,Great Spotted Kiwi,Apteryx haastii
34,King Island Emu,Dromaius minor
36,Kangaroo Island Emu,Dromaius baudinianus
278,Swan Goose,Anser cygnoid
333,Orinoco Goose,Neochen jubata
334,Andean Goose,Chloephaga melanoptera
402,Amsterdam Duck,Anas marecula
451,Green-winged Teal,Anas carolinensis
764,Belem Curassow,Crax pinima
989,Spot-breasted Quail,Cyrtonyx sallei
1243,Franklin's Grouse,Canachites franklinii
1444,Tonkin Partridge,Tropicoperdix tonkinensis
1613,Snow Mountain Quail,Anurophasis monorthonyx
1717,Black-fronted Spurfowl,Pternistis atrifrons
1896,Roraiman Nightjar,Setopagis whitelyi
1905,Tepui Nightjar,Systellura roraimae
1913,Lesser Band-winged Nightjar,Systellura decussata
1929,Spot-tailed Nightjar,Hydropsalis maculicaudus
1939,Long-trained Nightjar,Macropsalis forcipata
2221,Archbold's Owlet-nightjar,Aegotheles archboldi
2620,Fernando Po Swift,Apus sladeniae
2727,Porculla Hermit,Phaethornis porcullae
2767,Ash-bellied Hermit,Phaethornis major
2778,Ecuadorian Hermit,Phaethornis baroni
2993,Western Mountaineer,Oreonympha albolimbata
3075,Coppery-naped Puffleg,Eriocnemis sapphiropygia
3111,Vilcabamba Inca,Coeligena eisenmanni
3117,Huanuco Starfrontlet,Coeligena dichroura
3119,Apurimac Starfrontlet,Coeligena albicaudata
3121,Cuzco Starfrontlet,Coeligena osculans
3194,Black-breasted Brilliant,Heliodoxa whitelyana
3211,Brazilian Ruby,Clytolaema rubricauda
3261,Grey-tailed Mountain-gem,Lampornis cinereicauda
3347,Caribbean Emerald,Riccordia elegans
3411,Wedge-tailed Sabrewing,Pampa pampa
3541,Violet-crowned Hummingbird,Leucolia violiceps
3545,Green-fronted Hummingbird,Leucolia viridifrons
3548,Cinnamon-sided Hummingbird,Leucolia wagneri
3577,Indigo-capped Hummingbird,Amazilia cyanifrons
3579,Guanacaste Hummingbird,Amazilia alfaroana
3626,Andean Emerald,Amazilia franciae
3654,Mangrove Hummingbird,Amazilia boucardi
3686,Spot-vented Emerald,Chionomesa bartletti
3727,Brown-faced Go-away-bird,Corythaixoides personatus
3729,Black-faced Go-away-bird,Corythaixoides leopoldi
3731,Grey Go-away-bird,Corythaixoides concolor
3736,White-bellied Go-away-bird,Criniferoides leucogaster
3749,White-cheeked Turaco,Tauraco leucotis
3753,Ruspoli's Turaco,Tauraco ruspolii
3754,Violet Turaco,Musophaga violacea
3756,Ross's Turaco,Musophaga rossae
3984,Kai Coucal,Centropus spilopterus
4006,Chestnut-vented Coua,Coua pyropyga
4069,Scale-feathered Malkoha,Lepidogrammus cumingi
4137,Bahama Lizard-cuckoo,Coccyzus bahamensis
4284,Whistling Long-tailed Cuckoo,Cercococcyx lemaireae
4531,White-winged Pigeon,Patagioenas albipennis
4541,Southern Band-tailed Pigeon,Patagioenas albilinea
4602,Reunion Pigeon,Nesoenas duboisi
4674,Western Spotted Dove,Spilopelia suratensis
4987,Brown-backed Dove,Leptotila battyi
5105,Eastern Bronze Ground Dove,Pampusana johannae
5115,White-naped Pheasant-pigeon,Otidiphaps aruensis
5118,Grey-naped Pheasant-pigeon,Otidiphaps cervicalis
5120,Black-naped Pheasant-pigeon,Otidiphaps insularis
5138,Buff-eared Brown-dove,Phapitreron nigrorum
5140,Short-billed Brown-dove,Phapitreron brevirostris
5147,Grey-breasted Brown-dove,Phapitreron maculipectus
5149,Cebu Brown-dove,Phapitreron frontalis
5253,Grey-breasted Green-pigeon,Treron delalandii
5279,Ryukyu Green-pigeon,Treron permagnus
5311,Maroon-chinned Fruit-dove,Ramphiculus epius
5338,Eastern Ornate Fruit-dove,Ptilinopus gestroi
5344,Western Superb Fruit-dove,Ptilinopus temminckii
5353,Samoan Fruit-dove,Ptilinopus fasciatus
5460,Orange Dove,Chrysoena victor
5463,Golden Dove,Chrysoena luteovirens
5464,Whistling Dove,Chrysoena viridis
5465,Cloven-feathered Dove,Drepanoptila holosericea
5539,Rusty Imperial-pigeon,Ducula obiensis
5678,Chestnut-headed Crake,Rufirallus castaneiceps
5696,Ash-throated Crake,Porzana albicollis
5699,Zapata Rail,Cyanolimnas cerverai
5700,Colombian Crake,Neocrex colombiana
5703,Paint-billed Crake,Neocrex erythrops
5782,African Crake,Crex egregia
5814,Calayan Rail,Aptenorallus calayanensis
5815,Drummer Rail,Habroptila wallacii
5822,Chestnut Rail,Eulabeornis castaneoventris
5826,Chatham Islands Rail,Cabalus modestus
5827,Okinawa Rail,Hypotaenidia okinawae
5828,Barred Rail,Hypotaenidia torquata
5834,Buff-banded Rail,Hypotaenidia philippensis
5861,Guam Rail,Hypotaenidia owstoni
5862,New Britain Rail,Hypotaenidia insignis
5863,Roviana Rail,Hypotaenidia rovianae
5864,Guadalcanal Rail,Hypotaenidia woodfordi
5865,Bougainville Rail,Hypotaenidia tertia
5868,Santa Isabel Rail,Hypotaenidia immaculata
5870,Bar-winged Rail,Hypotaenidia poeciloptera
5871,Lord Howe Woodhen,Hypotaenidia sylvestris
5873,Dieffenbach's Rail,Hypotaenidia dieffenbachii
5874,Tahiti Rail,Hypotaenidia pacifica
5875,Wake Island Rail,Hypotaenidia wakensis
5918,Makira Moorhen,Pareudiastes silvestris
5919,Samoan Moorhen,Pareudiastes pacificus
5943,Purple Gallinule,Porphyrio martinicus
5982,Rufous-faced Crake,Laterallus xenopterus
5983,Red-and-white Crake,Laterallus leucopyrrhus
5984,Black-banded Crake,Porzana fasciata
5985,Ocellated Crake,Micropygia schomburgkii
5995,Speckled Rail,Coturnicops notatus
5998,Dot-winged Crake,Laterallus spilopterus
6006,Junin Rail,Laterallus tuerosi
6032,Saint Helena Crake,Laterallus podarces
6105,White-browed Crake,Amaurornis cinerea
6114,Striped Crake,Amaurornis marginalis
6140,Ochre-winged Trumpeter,Psophia ochroptera
6146,Olive-winged Trumpeter,Psophia dextralis
6149,Black-winged Trumpeter,Psophia obscura
6158,Sandhill Crane,Grus canadensis
6165,White-naped Crane,Grus vipio
6166,Sarus Crane,Grus antigone
6170,Brolga,Grus rubicunda
6173,Wattled Crane,Bugeranus carunculatus
6174,Blue Crane,Anthropoides paradiseus
6175,Demoiselle Crane,Anthropoides virgo
6199,Tricolored Grebe,Tachybaptus tricolor
6251,Northern Silvery Grebe,Podiceps juninensis
6351,Double-striped Thick-knee,Burhinus bistriatus
6356,Peruvian Thick-knee,Burhinus superciliaris
6437,White-backed Stilt,Himantopus melanurus
6461,Rufous-chested Plover,Charadrius modestus
6480,Forbes's Plover,Charadrius forbesi
6482,African Three-banded Plover,Charadrius tricollaris
6484,Madagascar Three-banded Plover,Charadrius bifrontatus
6486,Black-fronted Dotterel,Elseyornis melanops
6490,Little Ringed Plover,Charadrius dubius
6494,Long-billed Plover,Charadrius placidus
6534,Black-shouldered Lapwing,Vanellus novaehollandiae
6548,Caspian Plover,Charadrius asiaticus
6549,Oriental Plover,Charadrius veredus
6550,Tibetan Sandplover,Charadrius atrifrons
6554,Siberian Sandplover,Charadrius mongolus
6557,Greater Sandplover,Charadrius leschenaultii
6561,Double-banded Plover,Charadrius bicinctus
6565,Southern Red-breasted Plover,Charadrius obscurus
6566,Northern Red-breasted Plover,Charadrius aquilonius
6569,Wilson's Plover,Charadrius wilsonia
6575,Collared Plover,Charadrius collaris
6576,Mountain Plover,Charadrius montanus
6577,Puna Plover,Charadrius alticola
6578,Two-banded Plover,Charadrius falklandicus
6579,Black-banded Plover,Charadrius thoracicus
6580,Kittlitz's Plover,Charadrius pecuarius
6583,Saint Helena Plover,Charadrius sanctaehelenae
6584,Red-capped Plover,Charadrius ruficapillus
6586,Snowy Plover,Charadrius nivosus
6590,Chestnut-banded Plover,Charadrius pallidus
6593,Malay Plover,Charadrius peronii
6594,White-fronted Plover,Charadrius marginatus
6602,Javan Plover,Charadrius javanicus
6603,Kentish Plover,Charadrius alexandrinus
6609,White-faced Plover,Charadrius dealbatus
6760,Wilson's Phalarope,Steganopus tricolor
