category,subcategory_code,value,value_user,use,note
IUCN Red List Status,IUCN Red List Status,EX,Extinct,yes,"combine EX, EW, CR (PE), and CR (PEW) as ""Extinct"""
IUCN Red List Status,IUCN Red List Status,EW,Extinct in the Wild,yes,
IUCN Red List Status,IUCN Red List Status,CR (PE),Possibly Extinct,yes,
IUCN Red List Status,IUCN Red List Status,CR (PEW),Possibly Extinct in the Wild,yes,
IUCN Red List Status,IUCN Red List Status,CR,Critically Endangered,yes,"combine CR, EN, VU, and NT as ""Endangered/Threatened"""
IUCN Red List Status,IUCN Red List Status,EN,Endangered,yes,
IUCN Red List Status,IUCN Red List Status,VU,Vulnerable,yes,
IUCN Red List Status,IUCN Red List Status,NT,Near-threatened,yes,
IUCN Red List Status,IUCN Red List Status,LC,Least Concern,yes,
IUCN Red List Status,IUCN Red List Status,DD,Data Deficient,no,
Location,RR,1,Global Range <50k km2,yes,
Location,RR,0,Not Range-restricted,no,
Location,ISL,1,Island-Restricted,yes,
Location,ISL,0,Not Island-Restricted,no,
Location,RLM,A,Australian,yes,"If a species is found in two or more realms, realm is a combination, e.g. LN = Species found in Neotropical and Nearctic realms"
Location,RLM,C,Cosmopolitan,yes,
Location,RLM,E,Eastern Hemisphere,yes,
Location,RLM,F,Afrotropical,yes,
Location,RLM,I,Indomalayan,yes,
Location,RLM,L,Neotropical,yes,
Location,RLM,M,Madagascar & Surrounding Islands,yes,
Location,RLM,N,Nearctic,yes,
Location,RLM,O,Oceania,yes,
Location,RLM,P,Palearctic,yes,
Location,RLM,S,South Polar,yes,
Location,RLM,W,Wallacea,no,
Location,RLM,Z,New Zealand & Surrounding Islands,yes,
Location,LAT,1,Tropical,yes,
Location,LAT,2,Tropical-Temperate,yes,
Location,LAT,3,Temperate,yes,
Location,LAT,4,Temperate-Polar,yes,
Location,LAT,5,Tropical-Polar,yes,
Habitat,HABITAT,F,Forest,yes,any number in that category means that species occupies it
Habitat,HABITAT,BM,Bamboo,yes,
Habitat,HABITAT,WD,Woodland,yes,
Habitat,HABITAT,SH,Shrub/Scrubland,yes,
Habitat,HABITAT,SV,Savanna or Plains,yes,
Habitat,HABITAT,G,"Grasslands, Tundra, or Open Vegetation",yes,
Habitat,HABITAT,PL,Dry & Open Areas,yes,
Habitat,HABITAT,R,Rocky Areas,yes,
Habitat,HABITAT,D,Desert,yes,
Habitat,HABITAT,A,Artificial/Anthropogenic,yes,
Habitat,HABITAT,C,Sea Coast or Estuaries,yes,
Habitat,HABITAT,RV,Riparian or Riverine,yes,
Habitat,HABITAT,W,"Wetlands, Lakes, or Marsh",yes,
Habitat,HABITAT,SE,Open Sea/Pelagic,yes,
Habitat,HABITAT,O,Other,no,
Diet,DIET,IN-Wt,Invertebrates,yes,any non-zero in that category means that species fits in it
Diet,DIET,FR-Wt,Fruit,yes,
Diet,DIET,NE-Wt,Nectar,yes,
Diet,DIET,SE-Wt,"Seeds, Nuts, or Grain",yes,
Diet,DIET,VE-Wt,Land Vertebrates ,yes,
Diet,DIET,FI-Wt,Fish,yes,
Diet,DIET,SC-Wt,Scavenger,yes,
Diet,DIET,PL-Wt,Vegetation,yes,
Diet,DIET,MS-Wt,Miscellaneous,no,
Social Behavior,Social_1,1,Colonial,yes,
Social Behavior,Social_2,1,Social,yes,
Social Behavior,Social_3,1,Pairs and Family Groups,yes,
Social Behavior,Social_4,1,Single or in Pairs,yes,
Social Behavior,Social_5,1,Solitary,yes,
Social Behavior,Social_6,1,Lekking,yes,
Nest Type,Nest_Type,BU,Burrow,yes,"something like ""NestType_BU"" as a 0 (no) or 1 (yes) in the Nest Details tab of the BIRDBASE sheet"
Nest Type,Nest_Type,CP,Cup/Bowl,yes,
Nest Type,Nest_Type,CR,Crevice,yes,
Nest Type,Nest_Type,CV,Cavity,yes,
Nest Type,Nest_Type,DM,Dome/Oven,yes,
Nest Type,Nest_Type,HC,Half-cup/Shallow Cup,yes,
Nest Type,Nest_Type,NO,No Nest,yes,
Nest Type,Nest_Type,O,Other Bird's Nest,yes,
Nest Type,Nest_Type,PL,Platform,yes,
Nest Type,Nest_Type,PN,Pendant/Bag,yes,
Nest Type,Nest_Type,SA,Saucer,yes,
Nest Type,Nest_Type,SC,Scrape,yes,
Nest Type,Nest_Type,SP,Sphere/Globular,yes,
Nest Type,Nest_Type,M,Mound,yes,
Nest Substrate,Nest_Substrate,A,Bamboo,yes,"something like ""NestSBS_A"" as a 0 (no) or 1 (yes) in the Nest Details tab of the BIRDBASE sheet"
Nest Substrate,Nest_Substrate,B,Building,yes,
Nest Substrate,Nest_Substrate,C,Stump,yes,
Nest Substrate,Nest_Substrate,G,Ground,yes,
Nest Substrate,Nest_Substrate,K,Cactus,yes,
Nest Substrate,Nest_Substrate,N,Nest,no,
Nest Substrate,Nest_Substrate,P,Pole,yes,
Nest Substrate,Nest_Substrate,R,Rock,yes,
Nest Substrate,Nest_Substrate,S,"Shrub, Bush, or Vine",yes,
Nest Substrate,Nest_Substrate,T,Tree,yes,
Nest Substrate,Nest_Substrate,W,Water,yes,
Nest Substrate,Nest_Substrate,Z,Grass,yes,
Nest Parasitism,Para.1,1,Nest Parasite,yes,1 = is a nest parasite
Volancy,Flightlessness,Yes,Flightless,yes,
Movement,Mig,1,Migratory,no,1 = true
Movement,Alt,1,Altitudinal Migrant,no,
Movement,Irreg,1,Nomadic/Irruptive,no,
Movement,Disp,1,Disperser,no,
Movement,Sed,1,Non-Migratory,yes,
