species_id,common_name,scientific_name
28208,Abbott's Babbler,Malacocincla abbotti
7685,Abbott's Booby,Papasula abbotti
30111,Abbott's Starling,Arizelopsar femoralis
32930,Abd al Kuri Sparrow,Passer hemileucus
7652,Abdim's Stork,Ciconia abdimii
26480,Aberdare Cisticola,Cisticola aberdare
25520,Aberrant Bush-warbler,Horornis flavolivaceus
35550,Abert's Towhee,Melozone aberti
27061,Abyssinian Catbird,Sylvia galinieri
34508,Abyssinian Citril,Crithagra citrinelloides
33543,Abyssinian Crimsonwing,Cryptospiza salvadorii
30419,Abyssinian Ground-thrush,Geokichla piaggiae
33940,Abyssinian Longclaw,Macronyx flavicollis
9445,Abyssinian Owl,Asio abyssinicus
10244,Abyssinian Roller,Coracias abyssinicus
10067,Abyssinian Scimitarbill,Rhinopomastus minor
31017,Abyssinian Slaty-flycatcher,Melaenornis chocolatinus
30500,Abyssinian Thrush,Turdus abyssinicus
31994,Abyssinian Wheatear,Oenanthe lugubris
27416,Abyssinian White-eye,Zosterops abyssinicus
12043,Abyssinian Woodpecker,Dendropicos abyssinicus
11534,Acacia Pied Barbet,Tricholaema leucomelas
17722,Acadian Flycatcher,Empidonax virescens
24962,Aceh Bulbul,Pycnonotus snouckaerti
11791,Acorn Woodpecker,Melanerpes formicivorus
16069,Acre Antshrike,Thamnophilus divisorius
17361,Acre Tody-tyrant,Hemitriccus cohnhafti
4613,Adamawa Turtle-dove,Streptopelia hypopyrrha
36328,Adelaide's Warbler,Setophaga adelaidae
7305,Adelie Penguin,Pygoscelis adeliae
4469,Afep Pigeon,Columba unicincta
28545,Afghan Babbler,Argya huttoni
32850,Afghan Snowfinch,Pyrgilauda theresae
9197,African Barred Owlet,Glaucidium capense
403,African Black Duck,Anas sparsa
23550,African Blue Flycatcher,Elminia longicauda
1626,African Blue Quail,Synoicus adansonii
23761,African Blue Tit,Cyanistes teneriffae
14287,African Broadbill,Smithornis capensis
34163,African Chaffinch,Fringilla spodiogenys
4631,African Collared-dove,Streptopelia roseogrisea
5782,African Crake,Crecopsis egregia
34256,African Crimson-winged Finch,
4336,African Cuckoo,Cuculus gularis
8176,African Cuckoo-hawk,Aviceda cuculoides
7718,African Darter,Anhinga rufa
27125,African Desert Warbler,Curruca deserti
31083,African Dusky Flycatcher,Muscicapa adusta
10593,African Dwarf-kingfisher,Ispidina lecontei
4195,African Emerald Cuckoo,Chrysococcyx cupreus
5615,African Finfoot,Podica senegalensis
33746,African Firefinch,Lagonosticta rubricata
8676,African Fish-eagle,Icthyophaga vocifer
30982,African Forest-flycatcher,Fraseria ocreata
